gene,avg_rank_metric,avg_log2FC
NKG7,125.8515906957779,0.6356870261266214
GZMH,114.50460839257306,0.6618288738749861
GZMB,78.17923186900593,0.6733662057872192
PRF1,35.67487373944813,0.41511869257954903
CST7,28.5358909433422,0.35398864921484097
HLA-DPB1,20.681874267827734,0.3179047594878545
CX3CR1,17.64498725962755,0.3099329313357616
GZMA,13.48397528300686,0.2971722338111056
GNLY,13.152171562684845,0.5539430457240531
LGALS1,11.63355507238432,0.34454223761474945
CCL5,11.33670433514979,0.2532176575720456
CCL4,8.298471080952229,0.3374364923379154
HLA-DPA1,8.252902272955216,0.2264150586957043
TBX21,7.628343745026323,0.2215515672315263
CD8A,6.6857967595607395,0.22591350342414457
APOBEC3G,6.154738442762221,0.21136522154925447
ITGB2,4.205018357660374,0.18098133982796913
IFNG,4.073419425269312,0.2147272999659682
HLA-DRB3,3.5530074171181103,0.1748004784386032
HLA-DRA,1.314984821361201,0.15294807283366377
RUNX3,1.0866773806097345,0.1301056751139438
B3GAT1,0.99362766749121,0.08984066173487806
HLA-DQA1,0.8828401182843377,0.08595520041906893
CTSW,0.6618685449950722,0.08984231973579304
ITGAL,0.599688700276197,0.10685963572877863
KLRK1,0.4112859015839324,0.06913570519322323
TK1,0.3843899777924559,0.08010922523295719
CCL3,0.36262815424019146,0.06845470353176371
TYMS,0.32209702588278977,0.11772718980136393
CD160,0.12302694703752498,0.06264397934540838
CD244,0.09137477545951098,0.04685384455225533
CD2,0.08637655133112504,0.05807010818809316
ANXA5,0.0863282212695988,0.07201775036583456
HLA-DMA,0.0837081268801878,0.05494359384208172
LAG3,0.07570927901731286,0.04440677126357872
LAIR2,0.06940587429699145,0.04797616820758407
TRBC2,0.0636101894566726,0.039896839082278944
KLRF1,0.03812963340171073,0.024897928725234518
TNF,0.010957222176121212,0.06603917510342129
CD6,0.01090605759319046,0.04050009130393912
IL12RB1,0.005812174010081091,0.037667018680368446
CD3G,4.933335893375586e-4,0.031055549934750612
PTTG2,1.2167167824935087e-4,0.03294098992242849
CCR5,4.368643485293713e-5,0.025245213349673334
STAT4,1.9196032347167358e-5,0.02359347252148751
AIM2,0,-0.0010140123157844172
ARL4C,0,-0.03201274759514765
AURKB,0,0.02519960520858028
BAX,0,-0.04320800039079438
BCL11B,0,-0.007770171229637206
BCL6,0,-0.005424563760530234
BIN2,0,-0.018202489160482144
BTLA,0,0.0026261823529957614
C10orf54,0,-0.04696921274795182
CASP3,0,0.003712686419006058
