gene,avg_rank_metric,avg_log2FC
GZMH,100.55083040225534,1.0327538303375643
NKG7,46.639786273562265,0.806306087451017
CCL5,41.05413848757593,0.7293116642965456
LGALS1,34.6629093025021,0.7546627684357275
CST7,29.352534432785216,0.648336363169638
HLA-DPA1,28.673153776862133,0.56572964343948
HLA-DPB1,23.07815092870749,0.524001134125066
GZMA,21.682533089204295,0.5855973339237953
GZMB,17.089234525265397,0.5958527866831455
PRF1,10.387811577536688,0.41865833449335477
CX3CR1,8.480455634990758,0.3797133200714033
CD8A,7.5783187403522,0.4132880906853477
IFNG,4.433903496456039,0.28707923473502933
CCL4,2.9266601481767207,0.3319879967658589
TBX21,2.696178161908311,0.24744565792155993
HLA-DRA,2.438260397636589,0.25437499736386915
B3GAT1,2.3912361566604172,0.13929100157152674
APOBEC3G,1.6365599631787806,0.25294938521402444
HLA-DQA1,1.4357088016598056,0.11380864083249757
ITGAL,1.259417324526122,0.21731729022794072
RUNX3,1.151793653059972,0.22126719141731355
LAIR2,0.6980111493398016,0.19052915220709854
CD2,0.6977305703321333,0.19613736412763688
ANXA5,0.6238632659392954,0.15983653967892666
CD8B,0.43787510293568366,0.0960021971038733
TNFRSF1B,0.28840745758852954,0.13777890407818846
TIGIT,0.2864788509843047,0.09411318164804185
LAG3,0.22827133314915976,0.13703428887000574
TRAC,0.17300952478197332,0.1190673365753874
HLA-DRB3,0.08896094915585695,0.06744903560940196
FYN,0.08588341336650661,0.11323426552632954
TK1,0.05746616376819909,0.06432990139209675
UBE2C,0.05082345573854096,0.03526034149823787
TNFRSF9,0.042544083974437166,0.013774764336475568
PTTG2,0.029559261701265417,0.05049064315333192
IL12RB1,0.029234889763456957,0.07049285116345609
TRBC2,0.013748742631328333,0.10157299227287729
DUSP4,0.005610647502086395,0.018311722137942393
TOP2A,0.0027838006233010634,0.05571701464316157
TYMS,0.0011774662551502528,0.11195720322488041
GNLY,9.806374037384933e-4,0.19643613789499217
PDCD1,7.353410062013216e-5,0.025742531596234835
CD3D,2.5172236421351137e-5,0.03872857719191198
CXCL13,8.714279418045078e-6,0.00327735081600939
AIM2,0,0.008146858198441725
ARL4C,0,-0.08342749688296969
AURKB,0,0.031631505247376505
BAX,0,-0.07951698640368812
BCL11B,0,-0.04177350313516145
BCL2,0,-0.056767254233073064
BCL6,0,-0.005544212652088366
BIN2,0,0.007307764259300005
BTLA,0,-0.012631174031823404
CASP3,0,-0.0470724719188312
CBLB,0,-0.12131970863580402
CCL20,0,-0.0032152911354234085
CCL3,0,0.024999234015315237
CCNB1,0,0.006577403561810337
CCR1,0,-0.0015009533248620123
CCR10,0,8.608760682096301e-4
CCR2,0,-0.03923223361957872
CCR3,0,-2.5531256529780477e-4
CCR4,0,-0.0011531674551351066
CCR5,0,0.010764713511769242
CCR6,0,-0.007247428906243382
CCR8,0,-3.997782671656664e-4
CCR9,0,-0.013972825624430304
CD160,0,-0.010782391156523786
CD244,0,-0.009200511110637001
CD274,0,0.010266544106608983
CD300A,0,-0.06130954096681302
CD3G,0,0.04241912132727323
CD4,0,-0.00916712552408304
CD40LG,0,0.0013684520319855271
CD5,0,-0.06216778742550887
CD52,0,-0.06347097006099052
CD6,0,-0.01639944078589033
CD70,0,-0.0031874309242519525
CHI3L2,0,-0.076775964938474
CLC,0,0
CLEC2D,0,0.00587720623668603
CNOT2,0,-0.0531271703133446
CSF2,0,-0.0012111108733897753
CTLA4,0,-0.002984090018627574
CTSW,0,0.0025683301406009295
CXCL10,0,0
CXCL8,0,-0.00643949254159843
CXCR1,0,0.0028575242670558156
CXCR3,0,-0.09162747936674562
CXCR5,0,0.0041282160869236546
CXCR6,0,-0.02440877350137079
EGR3,0,-0.01683580760064822
ENTPD1,0,-0.010470691285399134
EOMES,0,0.013686874529747812
F5,0,0.00660382528558818
FAS,0,0.0037227954929926433
FASLG,0,0.014809307825929048
FBXO22,0,-0.0020219751377468518
FOSL1,0,0.0012317439076329861
FOXO3,0,0.010650189373682487
FOXP1,0,-0.04082481673748298
FOXP3,0,-0.017598666679627964
GAPDH,0,0.06058569312527891
GIMAP5,0,-0.11921030682846155
GLG1,0,-0.014442661912184485
GZMM,0,0.06378247710172502
HAVCR2,0,-0.04443174847398171
HLA-A,0,-0.0029643600762469012
HLA-C,0,0.02313658658131512
HLA-DMA,0,0.010074514102380876
HLA-DMB,0,-0.0019275455429404293
HLA-DQB1,0,0.03148942189680752
HMGB2,0,0.152589083349935
HMMR,0,0.0019357203765490024
ICAM1,0,-0.013634936506550746
ICOS,0,-0.012720458296004234
IER3,0,-0.004155674936962147
IFNGR1,0,-0.02344195922315136
IL12A,0,0.007993248880537077
IL12RB2,0,-0.007017810236366068
IL13,0,0
IL15,0,-0.008712453267083165
IL15RA,0,0.015009313927897016
IL17F,0,0
IL18,0,-0.013883199873466307
IL1R2,0,-4.199485672237805e-4
IL2,0,-8.034830006331516e-4
IL21,0,0
IL22,0,-7.994582041982502e-4
IL2RA,0,-0.007623417007648526
IL2RB,0,-0.21638265927675118
IL3,0,0
IL32,0,-0.03821281556434233
IL4,0,0
IL5,0,0
IL6,0,0
IL6R,0,-0.005890371315656639
IL9R,0,-0.005647194000731723
IRF4,0,-0.005524984293429736
IRF8,0,-0.014284618064068492
ITGA4,0,-0.013808099584281044
ITGAM,0,-0.10419558666586738
ITGAX,0,-0.011502420049724477
ITGB2,0,0.014005649637698032
ITK,0,-0.12515160779146395
JUN,0,-0.07791451830956075
KIT,0,-0.0020340900858451558
KLRC4,0,-0.059677833392017196
KLRF1,0,-0.024374988480832076
KLRG1,0,-0.07889911882055414
KLRK1,0,-0.16150410743058632
LAP3,0,-0.019322737089963304
LAT2,0,-0.03143019661642445
LGALS3,0,-0.005830851872854265
LIF,0,-0.001207091664446414
LILRB4,0,-8.034830006331516e-4
LRRC32,0,0
MKI67,0,0.018617126377798495
NINJ2,0,-0.0015013790798685052
OAS1,0,0.006299644919765303
PECAM1,0,-0.04470663274608818
PMCH,0,-0.006411367990846607
PRDM1,0,0.04084129632171136
PTGDR2,0,-0.004037091078306405
PYCR1,0,-0.011736453326811357
RORA,0,0.031732687130623743
S1PR1,0,-0.07006912342504623
SELPLG,0,-0.09038437830471295
SEMA7A,0,-0.022647755633703706
SLAMF1,0,-0.04065790100438586
SPP1,0,0
STAT1,0,-0.03573335289427275
STAT3,0,-0.037900659391161544
STAT4,0,-0.011088892620650256
TARP-refseq,0,0.028841005726791977
TGFB1,0,0.011166960706546492
TGFB3,0,-7.795862649766728e-4
TIAF1,0,-0.01789521091760867
TLR2,0,4.618694352206517e-4
TLR9,0,-0.005260895998259233
TNF,0,0.03560942572933157
TNFRSF18,0,-0.001090218314886853
TNFRSF4,0,3.2928441392234237e-4
TNFRSF8,0,-0.001606528851341652
TNFSF10,0,-0.06690846008373685
TRAT1,0,-0.062040022114027475
TSPAN32,0,-0.06804807625033997
VNN2,0,0.006181823582973861
XCL1,0,-0.0036222270844393795
ZBED2,0,-4.03816601806139e-4
ZNF683,0,-0.2814501177800589
GIMAP7,-1.9224040041531003e-4,-0.1432263518041461
FOXO1,-2.5977277019486363e-4,-0.057909793414116444
GZMK,-2.8784406400004484e-4,-0.1769445999689649
ZAP70,-2.9973761430907654e-4,-0.09367670166985029
CCND2,-4.5980135563869576e-4,-0.08473412683346014
LAT,-4.7095057987420446e-4,-0.14387371552384406
CD9,-0.0015559426640627924,-0.04398151398295854
NAMPT,-0.00402557328178261,-0.051856619915124684
RORC,-0.014793713582573255,-0.05218509385132409
