gene,avg_rank_metric,avg_log2FC
NKG7,20.935887352464153,0.5867781121299008
GZMH,16.167923793973916,0.6290208890008955
CST7,5.9638642106676185,0.3452116960190697
GZMB,4.690256725141734,0.38688833616732055
CX3CR1,2.978839709239595,0.2563729890013917
HLA-DRB3,2.7748414553880236,0.28473952705143907
GNLY,2.3110755368825036,0.5852045932372757
HLA-DPB1,2.065254249131497,0.2641611745528794
ITGAM,1.8451140099967045,0.23016108821869777
CCL4,1.1832618395040537,0.27005185439618323
GZMA,1.025152595615182,0.19611309841990474
ITGB2,0.9443935672476588,0.1882816988372353
PRF1,0.8309920989220989,0.21510463308621444
HLA-DPA1,0.6745043324781363,0.18381209695708084
HLA-DRA,0.666815268419845,0.16363966371908195
KLRG1,0.6513099096333463,0.1814474292892653
TBX21,0.4901350753236159,0.17587738860502083
CCL5,0.46242495362801556,0.17441757491114013
B3GAT1,0.39095578022220473,0.08294714673973591
ITGAL,0.21482649322840083,0.1300015467447687
LGALS1,0.12642208680698946,0.1931183477880644
CD244,0.11654290996719831,0.07844266375863565
RUNX3,0.11126886961354499,0.13411719746401718
HLA-DQB1,0.05862601541182996,0.08568859039464313
LAIR2,0.041638102390017924,0.059009203507957374
ITGAX,0.03263850741889591,0.05591696968309305
HLA-DMB,0.020577128246354243,0.05453632292183645
HLA-DMA,0.017794906428145515,0.06707400556025303
CD160,4.888696156244779e-4,0.07117880923523202
CTSW,2.478473541227206e-4,0.13329399970359707
IFNG,1.0351609435406329e-4,0.041011554956230274
AIM2,0,-2.285075966096126e-4
ANXA5,0,-0.040797038354826565
APOBEC3G,0,0.05829987071173575
ARL4C,0,-0.021267707020809278
AURKB,0,-0.009896181953300715
BAX,0,-0.022273352118118744
BCL11B,0,-0.021787743835978444
BCL2,0,-0.012219157228805769
BCL6,0,0.020088653338132752
BIN2,0,-0.02907031994412175
BTLA,0,-0.008330525330140025
CASP3,0,-0.008340252839407052
CBLB,0,-0.027018317011645986
CCL20,0,-1.723730327307716e-4
CCL3,0,0.05453684639336328
CCNB1,0,0.003922887261767342
CCND2,0,-0.02998699599900982
CCR1,0,0.010893977925538393
CCR10,0,0.00395011504245807
CCR3,0,3.191652290822777e-4
CCR4,0,0.0014478245120715459
CCR5,0,0.025366231347505364
CCR6,0,-0.009567111689932744
CCR8,0,0
