gene,avg_rank_metric,avg_log2FC
GZMH,260.2609981818651,1.3510226396972966
NKG7,166.491715926275,1.1096397357930807
GZMB,158.06236286614418,1.1612876766268658
GZMA,56.12744767939146,0.7064975937011286
CST7,54.51522405275031,0.6602483255077239
HLA-DPB1,48.69725113507986,0.5737367827133911
HLA-DPA1,43.262157313958326,0.5305776602022004
LGALS1,37.60008379444488,0.7359160027751596
CCL5,24.416875625790386,0.48831089235690833
PRF1,23.075495001769564,0.4754443231518118
CX3CR1,21.942005740341113,0.3753366318449001
CCL4,18.639866918971343,0.44451164140856336
HLA-DRB3,16.65038028841551,0.38870346745973683
IFNG,14.195916929323841,0.31860138722623266
HLA-DRA,10.790701785843344,0.308157589931478
B3GAT1,7.007402937548004,0.19183686551379675
GAPDH,6.570840958323172,0.35591043573054115
TNFRSF1B,6.545034163915009,0.28930595559860284
HMGB2,4.3404088092852104,0.3764935732734861
CD8B,4.161787563873136,0.32136247382728045
LAIR2,2.794306045580867,0.1607768864857703
APOBEC3G,2.7329011072658425,0.21288831553547552
ITGAL,2.063908102897185,0.22071901025266663
LAG3,1.9059677465121625,0.15619293501389692
CD2,1.5925444517422955,0.19928242523596731
CD6,1.5338570304871797,0.20788239168976871
TBX21,1.4136418095053502,0.1735515018081286
IL12RB1,1.2128865714040742,0.12667034455165138
FYN,0.9957407355325486,0.169151237278987
TYMS,0.9845614241170741,0.18837510505436605
TIGIT,0.8734085213886104,0.11071910316280076
HLA-DMA,0.7621684510809482,0.09502211434359445
CCL3,0.7270148026218658,0.10450369450785141
RUNX3,0.6369083843969625,0.1528473957423246
TK1,0.5561357323539585,0.09066534448561527
KLRG1,0.4939689562369494,0.11102175192450757
CD3G,0.48977386853252086,0.12860709257106306
VNN2,0.480960003171369,0.06284623231706211
FAS,0.383340603679869,0.07529472496154556
CCR5,0.31820256430154453,0.07181876824926814
PRDM1,0.2865320274315378,0.06534212689565332
ITGB2,0.23686639193809067,0.11215448277406155
CD70,0.18555656246051117,0.04453288635436515
EOMES,0.167857101174162,0.06287008190900449
GZMM,0.13104432428103244,0.0825686735641561
TOP2A,0.10767508746028118,0.06606314234682255
CLEC2D,0.10526419250589514,0.060737555587033594
UBE2C,0.09537490480222287,0.061337208803327
CD5,0.08672607194575371,0.09776175468164072
PTTG2,0.046898029082080885,0.050094557094299455
AURKB,0.03568158772267589,0.0587820087240554
CXCR4,0.012216314190734625,0.013573071681354975
FASLG,0.0060738965669797414,0.018384124024532007
ANXA5,9.673286417670496e-4,0.05655535204608608
TNF,7.503007756741028e-4,0.04204968874719202
PDCD1,4.8652509325357735e-4,0.027461229226802795
HLA-DQA1,4.3720390882141265e-4,0.025494122353534147
NINJ2,7.305447632530245e-5,0.025510171371076088
CCNB1,2.1832271487914544e-5,0.013551322021084883
AIM2,0,-8.908678347254682e-4
ARL4C,0,-0.12236130831543333
BAX,0,-0.14456136874721506
BCL11B,0,-0.019217712381213097
BCL6,0,-0.013693818181016643
BIN2,0,0.02272522162559367
BTLA,0,-0.006662878081416045
CASP3,0,-0.003816678529915795
CBLB,0,-0.05235902234897059
CCL20,0,-0.005523040354576096
CCND2,0,-0.015102434496420321
CCR1,0,0.0012334271757207414
CCR10,0,-0.00320146128113221
CCR3,0,-0.0022927209764985745
CCR4,0,-4.5055231389789407e-4
CCR6,0,-0.009280146213922598
CCR8,0,-0.0013513457799313386
CCR9,0,-0.008266848541777562
CD160,0,-0.033165483500172545
CD244,0,0.016550526766800543
CD247,0,-0.0257649366053476
CD274,0,-2.905445233623813e-4
CD3D,0,-0.044668004593174576
CD4,0,-0.06918431965386587
CD40LG,0,-2.359526217697323e-4
CD69,0,-0.05495222718693929
CD8A,0,0.03503642915484297
CHI3L2,0,-0.003782615696740183
CLC,0,0
CSF2,0,0
CTLA4,0,0.017468435117051585
CTSW,0,-0.17243856637718574
CXCL10,0,0
CXCL13,0,0
CXCL8,0,0.0012495070579433545
CXCR1,0,-5.046416091464043e-4
CXCR5,0,-0.0024184396433601686
CXCR6,0,0.019340332781268406
DUSP1,0,-0.27371247159585754
DUSP4,0,0.006702154211274465
EGR1,0,0.012829863428514046
EGR3,0,-0.0068626889622415655
ENTPD1,0,0.004008653804798586
F5,0,-0.006949491123608873
FBXO22,0,0.002176891931387689
FOSB,0,-0.10088975030046518
FOSL1,0,-9.28513899078995e-4
FOXO1,0,-0.02398452077569146
FOXO3,0,0.02958310882899851
FOXP1,0,-0.025809099479778885
FOXP3,0,-0.011304889338675768
FYB,0,-0.10841243054122031
GIMAP2,0,-0.1289820600352091
GLG1,0,0.004053155611312294
GZMK,0,-0.13033576067666516
HAVCR2,0,-0.010907793332086782
HLA-C,0,-0.0025098952243211327
HLA-DMB,0,0.01546251589387718
HLA-DQB1,0,-0.002288141735607471
HMMR,0,0.006462963981784218
ICAM1,0,-0.03686666844249836
ICOS,0,-0.010265538615487357
IER3,0,-0.0027015683020169866
IER5,0,-0.06086323696542938
IFNGR1,0,-0.014833722994428412
IL12A,0,-0.0025781015397787444
IL12RB2,0,-0.008924419823207453
IL13,0,0.0017789281140108304
IL15,0,-0.004654647806337272
IL15RA,0,-0.020505997875735354
IL17F,0,0
IL18,0,-0.0042488606288346945
IL1R2,0,-9.193538952094126e-4
IL2,0,8.45982259010178e-4
IL21,0,-9.193538952094126e-4
IL22,0,-0.0032151787733856385
IL2RA,0,-0.007068030246039548
IL3,0,0
IL32,0,-0.10584767463304554
IL4,0,0
IL5,0,0
IL6,0,0
IL6R,0,-0.013994719201060808
IL9R,0,-0.0022927122886027365
IRF4,0,-0.006987180812333252
IRF8,0,-0.0012670485704450723
ITGA4,0,-0.031069457551648794
ITGAE,0,-0.022051751983718677
ITK,0,-0.0016527825021681554
JUN,0,0.019868990320106413
KIT,0,-0.0023064399172376395
KLRC4,0,-0.005848456573114327
KLRF1,0,-0.006648185723519223
LAP3,0,-0.05777682634127467
LAT,0,-0.0021809560573257647
LGALS3,0,-0.026690622602615954
LIF,0,-9.147644406108583e-4
LILRB4,0,8.595742188014178e-4
LRRC32,0,-1.831998014291877e-5
LTA,0,-0.03342702156140826
