gene,avg_rank_metric,avg_log2FC
GZMB,20.1126459629699,1.3080106565719876
KLRD1,18.350692951773297,1.2141034059043148
ADGRG1,10.57883618091572,1.2792636986651162
GZMH,9.309545008919757,0.8864077226017439
FCGR3A,9.102744674149353,1.2482207479672562
GNLY,8.565075272268531,1.0580084706110306
FCGR3B,8.113217941654101,1.2286086667281249
FCRL6,7.28713480609396,1.0468976298013084
FGFBP2,6.020507991620812,1.0242269854425696
CX3CR1,4.773659487959914,0.9029822738406481
ZEB2,4.566319499855686,1.132754034346639
PRSS23,3.9375121007102636,1.1827528213961025
NKG7,2.7445629327740804,0.5410210366203959
PRF1,1.9967459007012185,0.5792963766551597
S1PR5,1.812238456956505,0.6890521680687208
BATF,1.3435302113513385,0.9604425671635773
S100A4,1.150999111016428,0.6991514703708472
GLUL,1.0554409130250852,1.2416509448666568
LGALS1,0.7060872479815589,0.7225930422413362
TMSB10,0.5828921683752958,0.6629548459865766
C1orf21,0.4206319221307455,0.9684008878802015
TBX21,0.2037052592187557,0.7453879718581627
EFHD2,0.17250317882835814,0.7067065048694963
IKZF1,0.14934057889702687,0.4646233623533413
CD99,0.14449628475082696,0.4183927831752105
PATL2,0.13028734981097262,0.7692961249998149
SYTL3,0.015930694317296885,0.8505417087374666
HOPX,0.01586831712114001,0.8603163866810815
KLRC4-KLRK1,0.011306295754893888,0.3638410518591553
KLRK1,0.009385791593812075,0.3555731442610599
SH3BP5,0.005032340302408942,0.5852450189743941
CYTH4,0.004673688387620659,0.7617823344653953
LUZP6,0.0016928475379955196,0.7770823526640117
CFL1,0.0011880794724813313,0.2461705479354639
ID2,4.7774716441839865e-4,0.3871836977586997
SH3BP5-AS1,3.959516802177887e-4,0.4709236730289701
FIBP,1.926681441074675e-5,0.387805540283175
A2M,0,0.09653148283198254
AAK1,0,0.7973197663126131
ABI1,0,-0.2521336527842153
ABI3,0,0.4305280278679101
ABLIM1,0,-0.7185568689194372
ABRACL,0,-0.22383672140992883
ACADVL,0,0.29914289538946104
ACAP1,0,0.07255096984842131
ACAP2,0,0.25756494269106184
ACIN1,0,-0.17331985040348957
ACOT13,0,0.05367303961867216
ACP1,0,0.22707371840077953
ACTB,0,0.2005289766356712
ACTG1,0,0.022886071887869973
ACTR2,0,0.2245117560046468
ACTR3,0,0.1645495250528297
ADAR,0,-0.006072274719898712
ADD3,0,0.04001768969259224
ADGRE5,0,0.3360944256444576
ADRB2,0,0.7092152430255231
AES,0,-0.29987540078878855
AGBL5,0,-0.25513570940969876
AHNAK,0,0.23712710268696943
AIP,0,0.4617682976114402
AKAP13,0,0.10883205434020735
AKAP9,0,-0.02200498208956425
AKNA,0,0.2554798674199558
AKTIP,0,0.1152432135161355
ALDOA,0,-0.06618928151051014
ALOX5AP,0,0.20987960751187848
ANAPC16,0,0.06477850372333074
ANAPC1P1,0,-0.5814475964513501
ANAPC5,0,0.12135125576727356
ANKRD10,0,0.13286055146341547
ANKRD12,0,-0.25388270737628693
ANKRD36,0,-0.7874963668201027
ANKRD36B,0,-0.765679679188818
ANKRD44,0,0.16481178602412916
ANP32E,0,0.0492254641229072
ANXA1,0,0.2351359383137326
ANXA11,0,-0.24973321071351146
ANXA2,0,0.0790598490736857
ANXA2P2,0,0.003083128046388408
ANXA5,0,-0.16796472210988286
ANXA6,0,0.5928443263991929
ANXA7,0,-0.6874020082163015
AOAH,0,0.6068150572372679
AP1G2,0,0.3004325743087176
AP2M1,0,0.05379767459920468
APBB1IP,0,0.03218232724408179
APMAP,0,0.19516367635312032
APOBEC3C,0,0.5512263626154441
APOBEC3F,0,-0.050059694905256545
APOBEC3G,0,0.37869431676541243
APOL2,0,0.20412695116228563
APOL6,0,0.7532499249242223
APRT,0,-0.37913155296696777
ARAP2,0,-0.28395273608856236
ARF1,0,-0.10443533838195425
ARF5,0,-0.2833773864475769
ARF6,0,-0.08448478124318405
ARGLU1,0,-0.26553705887270734
ARHGAP1,0,-0.04993455455922542
ARHGAP15,0,-0.4628969755547798
ARHGAP25,0,-0.1793585413919966
ARHGAP30,0,0.20806386987258194
ARHGAP4,0,-0.02720172508720152
ARHGAP45,0,-0.13665378638033343
ARHGAP9,0,-0.28897792198615296
ARHGDIA,0,-0.4900893623198388
ARHGDIB,0,0.014816885772830642
ARHGEF1,0,0.04968663146646428
ARHGEF3,0,0.2943978352432353
ARID4B,0,-0.36332793001754526
ARID5B,0,-0.10700762887903435
ARIH2,0,0.2133325520694102
ARL4C,0,-0.1789607425296647
ARL6IP1,0,-0.0246978866793918
ARL6IP4,0,-0.2317655993391293
ARL6IP5,0,0.3196169852537463
ARPC1A,0,-0.07971390687569498
ARPC1B,0,-0.07803853966113403
ARPC2,0,0.24146661512104983
ARPC3,0,-0.05207228778314962
ARPC4,0,-8.213281752952905e-4
ARPC4-TTLL3,0,0.12420327941244348
ARPC5,0,0.11586875586803448
ARRB2,0,0.13385583563409933
ARRDC3,0,0.38961895489658466
ASCC1,0,-0.659188578422953
ASH1L,0,-0.12600689122796768
ATF7IP,0,-0.10219842194684522
ATM,0,-0.292106963459486
ATP1A1,0,0.3391585314247469
ATP1B3,0,0.12912064927316674
ATP2B4,0,-0.18954707371598234
ATP5A1,0,-0.27013624612447484
ATP5B,0,0.08419206305477145
ATP5C1,0,-0.12001861492722977
ATP5E,0,0.3045110906091178
ATP5F1,0,0.27809913906436984
ATP5G2,0,0.1757598397172815
ATP5G3,0,-0.02941305394155802
ATP5H,0,-0.5279877867417253
ATP5I,0,0.3798246663167624
