gene,avg_rank_metric,avg_log2FC
GZMH,14.05491736958123,0.5156729025299179
NKG7,13.694461854744256,0.39316960337978735
GZMA,8.097909201359768,0.4086018663598261
LOC100996809,3.747836673472073,0.3076318292905027
CCL5,2.900607764636587,0.20366653886591654
CST7,2.7494656692042545,0.2736921755542252
MYO1G,2.222175658875889,0.30574288442032216
B2M,2.2041434563613467,0.21348352193372608
HLA-DRB4,1.9936147239825093,0.27539622517546775
CLIC1,1.9933467949068289,0.2536449461805982
TMSB4X,1.8410960901183298,0.2157549601792901
PFN1,1.66464065163444,0.21929597335914286
TMSB10,1.2543671390717197,0.1858577005644104
GZMB,1.1846989159704642,0.21795172190488948
LAG3,1.1487450575221119,0.18947840889150605
CD8A,0.985338085280714,0.2167221371961118
CCL4,0.9628260427672692,0.1708268255984288
CD3G,0.8425458888309046,0.20332311812357312
IL32,0.8023467459048431,0.1689261521743271
SH3BGRL3,0.752747448333589,0.17618455032389857
ACTB,0.750417816517903,0.16934514394001057
IFNG,0.6509511750493273,0.14544996832182877
HLA-A,0.5887510133868412,0.1553507368509886
CD74,0.5836506370875967,0.18347128614519148
COTL1,0.5751836068695675,0.1399816094621176
GZMK,0.5616365673040457,0.20620159289622406
PSMB5,0.5541101965930872,0.1738195352500135
CD3D,0.5399591247972566,0.17430544790104116
ACTG1,0.5330090230646973,0.16810013602081247
MYL6,0.5215111251671246,0.16514291796976382
PRF1,0.5102570849724547,0.16947722429305118
CD8B,0.4812036913106886,0.17732479935231085
HPRT1,0.47805711890500674,0.16464241839544524
CFL1,0.474728398738594,0.15481158315537197
ATPIF1,0.43123680120351593,0.16487201796906026
RPS2,0.42627268279427116,0.1522753269454243
MYL12A,0.42594179993339887,0.15584584604659513
TBX21,0.4237435279636124,0.14118130730024112
HLA-C,0.4162850150560859,0.13504423946623487
CD52,0.40686659684536464,0.16468333873141486
RNF167,0.40527137379747513,0.16567032998571596
NIN,0.40386392834396184,0.14331903760610237
PSME1,0.39146083318398595,0.1605256366256589
C12orf57,0.39034886774653105,0.1548192243348702
MYH9,0.387576768864787,0.15908979092269102
ISG15,0.37799214817470445,0.14579572556721548
ARHGDIB,0.3587543301833932,0.14882879212171107
CCL3,0.34887186915410057,0.14000947965144983
TXN,0.34870394727030457,0.1510932296236198
RPS4X,0.3402678148368848,0.12018837587800922
PYHIN1,0.32686312777464555,0.15822480655934895
RHOA,0.31654419769987824,0.15160661778206422
ETS1,0.3143298722218214,0.13613984179834185
GAPDH,0.30235474265718293,0.1341219078057765
KLRD1,0.300941348743971,0.1565692859481402
ANKRD44,0.3003880711435346,0.14103110026618892
ARL6IP1,0.29643937628927797,0.14651983429754772
MYL12B,0.28955107652402545,0.1464253561574872
RAC1,0.28793366621646455,0.09718983670335062
CORO1B,0.2863395060473492,0.11405449016780113
RARRES3,0.2852464598630906,0.1425393675730128
TBC1D10C,0.2842019388049243,0.1478674379946402
YWHAZ,0.276770299170717,0.14051523540933727
SKAP1,0.2756827178110381,0.14284715486257368
SUMO2,0.27505524503782997,0.1403008951167309
ENO1,0.271683216013004,0.14034982261221005
TINF2,0.26644780966854836,0.14499432853404481
LENG8,0.2595308214525723,0.14587102856989548
DGKZ,0.25899973601518567,0.14025177630097915
KIAA0922,0.2586121279592396,0.13025488980444141
CKLF,0.2570619533050855,0.10931135938733597
RAB24,0.2557360425821793,0.13590588389426142
PFDN4,0.25375007916257897,0.1461003129022258
LGALS1,0.2528945671848845,0.14779701533466205
RAP1B,0.2517882614964532,0.14876273510809912
SFT2D1,0.24888144395630507,0.12510362518191753
PSENEN,0.23630593205711425,0.14513184585424924
IDH2,0.2343459496925261,0.1377493823053903
ITGB2,0.2270223917637414,0.13835627058495756
PVRIG,0.22493039359355382,0.1275564196885418
PLEKHJ1,0.2245878555704009,0.13585277098295095
FAM96A,0.224436455343241,0.13131545785279142
RPL7A,0.22397374068528694,0.10850263497924045
ANXA2,0.21918115711833364,0.1333575021816937
THOC2,0.21677604027701636,0.13873224509405638
CYBA,0.21586230119698038,0.11765050304288693
WIPF1,0.2154518404743023,0.12676906731989745
PSMC3,0.21383538922990838,0.13739458983045347
C12orf75,0.21218197046527965,0.15036311237296515
C1orf50,0.2086059793968677,0.11778436151722696
UBE2B,0.20725237566955185,0.12219141780056772
PARK7,0.2060907250187615,0.1332005316227717
MT1F,0.20353504356144034,0.15840778485324858
USP36,0.20267306496654383,0.13013531646443158
SIT1,0.1981667520789552,0.11635368337645981
PECAM1,0.1981077507755497,0.1719293842601252
GLUD1,0.19670424229624683,0.09996189993677089
APOBEC3G,0.19534968405268247,0.13220799893751453
HP1BP3,0.194735753331034,0.13313433138610598
MIR155HG,0.19299088503580486,0.09628843662354572
CDKN1B,0.18927505757980054,0.09833703710675915
GZMM,0.1853723752269297,0.1375597889061602
CAPZA2,0.18343435035146044,0.11877845990918959
ARRB2,0.18123492035425193,0.1303986983109904
SASH3,0.17682011906898285,0.13071535771881557
NONO,0.17671878225337773,0.12190039570202342
GPCPD1,0.17609638014225926,0.10615515179994647
IFITM1,0.16985159887702275,0.10863054235133375
GPI,0.16942229303691442,0.11844037791035195
LCK,0.16886393170717154,0.11862497243807704
S100A4,0.16850188155133572,0.12175315705394639
PTP4A2,0.16646579087062435,0.12593467991599958
COPE,0.16592164076951216,0.11836972848569308
STARD7,0.15814522192443975,0.11321956655653953
ARID5B,0.15715348450438993,0.08935147776874383
TRIM52-AS1,0.15653031193726316,0.1339289559039887
RPL26,0.15635433104392635,0.09080833670334854
SUPT5H,0.15541245164065315,0.12303171189279734
ATP5E,0.15475062310929186,0.11098885482950924
HN1,0.1538272459296645,0.11488850878297797
NDUFB10,0.15297043152011464,0.12642468882424301
TOR3A,0.1494475608661554,0.10520814175041093
SLA2,0.14920470858746368,0.09983844638223123
CCNDBP1,0.14754340376705175,0.1103916663012647
PCED1B,0.14309300587800644,0.10664534873639299
MORF4L1,0.1424921662207932,0.11452105897301655
CAPZB,0.14232164859844582,0.11643981466301767
CCDC124,0.1422992924443086,0.1229038463003776
E4F1,0.14125628133533344,0.10005859121895049
USB1,0.14049875380101862,0.1209893014219592
CTSC,0.14004886490237295,0.12102162936375557
RAB10,0.13969958229811372,0.10548675983179609
ATP5G3,0.13608643167681805,0.11701869869576646
ANXA11,0.13433528126859032,0.11375010123366089
CNPY2,0.13408806228662604,0.11357185356792626
YWHAH,0.13387009692527843,0.07467921509001044
CDK2AP2,0.13315379575369118,0.1113442933706366
LOC101929531,0.1328417353089317,0.10585510075240784
CAP1,0.1311328030586905,0.11814478089140817
SAMHD1,0.1307657895718454,0.11889416060192516
PHPT1,0.12883174782582354,0.10653150369594681
C19orf25,0.12803851864389626,0.10891863801327682
LY6E,0.12612047225424305,0.11438289573295408
SLC9A3R1,0.1257747103125691,0.12234143998027706
CUTA,0.12459901253722346,0.11192447211957503
GSTK1,0.12410543221581713,0.10304581799883267
COX6B1,0.1233264611680681,0.10947807703550701
HLA-DRB1,0.12210542358223711,0.1083488653341354
GBP5,0.12140926751373264,0.09615865577341738
SELT,0.1213957452902457,0.10718509587262638
ARAP2,0.12130659840072178,0.09744681747197245
CORO1A,0.12047888291586868,0.10853640269206583
EMP3,0.1202299072550444,0.11328478826657687
PYCARD,0.11853316536692028,0.11579880256133343
RPL27,0.1176712470650219,0.09353282787291385
MMADHC,0.11728603894586911,0.1075624630929211
OSTF1,0.11581904339928631,0.10694179962566586
TOMM20,0.1147238014252771,0.10928207439920076
EML4,0.11442646366263357,0.09904181526649496
PSMB8-AS1,0.11438707166537516,0.1023448512951218
C9orf16,0.11438142483494244,0.10815487313130338
ARPC5L,0.1142841454361611,0.1148279186097525
NLRC3,0.11383181377707306,0.12084615811930556
NFATC3,0.11315097693264822,0.11389716189089567
RPS15A,0.1125674703646965,0.08512421295432178
PPDPF,0.11238649281454632,0.10187573425101704
BBX,0.11204098241545492,0.10858803297159259
FLNA,0.11161137991770481,0.11701971368802452
CNPPD1,0.11135047495803359,0.09969481793606372
CECR1,0.11061927006227336,0.1019600689999486
CD97,0.11049665365926059,0.1014470194029501
PTGDR,0.11044954128686199,0.12191869607684681
FBXW5,0.11007983498347249,0.10750852554953652
COX6C,0.10964096432466386,0.10997738558399586
IL2RG,0.10841837757667684,0.10192308613257464
PIK3CD,0.10819421634506682,0.09821052612810235
SRP14,0.10818688560553565,0.10801308760876298
NEDD8,0.10768311744761586,0.10704505634681459
RPL13A,0.10659255581396256,0.10229895272057478
PSMC1,0.10481585471832806,0.11095349665378837
GRK6,0.10354597619363984,0.08774253700622053
IL10RA,0.10338160064214089,0.09788814097381109
DNAJC9,0.10304890619637537,0.09523954715978578
SNRPB,0.10233764490325191,0.10234291155345632
NEDD1,0.10170091362747116,0.0924243347594848
