gene,avg_rank_metric,avg_log2FC
KLRD1,57.23612147043852,1.7849866776261767
ADGRG1,56.28471392850964,2.217178054537719
GZMH,54.699647075319525,1.6480533321626134
FCRL6,51.5512199356825,1.7729802024285262
FCGR3A,50.59586479116508,2.2281643384137597
FCGR3B,42.866991810507386,1.790021810439288
CX3CR1,41.96064537650831,1.9116285795047707
FGFBP2,41.12637974130146,2.0263741580668144
NKG7,40.067633674071885,1.1556097365868885
GZMB,38.90233597821769,1.8576426749246644
FGR,28.696454840797927,1.6076832165797077
PRF1,28.247902892286472,1.1561449529391465
EFHD2,26.60948307317781,1.6273383095376026
TARP,22.987844503555788,1.1725224784884822
S1PR5,20.823011245753854,1.5762038990820109
TTC38,19.391155601713947,1.7261398713123726
C1orf21,18.66287381631601,1.5796218551962247
PLEK,17.86258472998273,1.0467520499295764
CCL4,15.46751044790587,1.348082063423002
AOAH,13.850512475612016,1.3570825686865733
CST7,12.078243679766711,0.7634485438271329
ZEB2,10.552918533306904,1.0050566449467107
TGFBR3,10.49184629980214,1.2224672539856671
GNLY,9.301431244918653,1.5194966380285313
CCL4L1,8.29099863187671,1.092081499215531
HLA-DRB6,7.611768800072296,0.7734758747616712
HLA-DRB1,7.470605199563466,0.7744150745326275
TBX21,7.244134205327331,1.1107520181827883
CTSW,7.169496722763948,0.6862036436527831
CD244,7.061494448993533,1.4779166005282305
CD300A,6.928525900255648,1.4535007282860726
SLAMF7,6.891268902930852,0.8370743043807013
ADRB2,6.682944562483327,1.1071984897554616
SYNE1,6.517860691852027,0.752296870349872
ABI3,6.499251219842056,1.0197751857053943
LITAF,6.2803872285493405,0.6570641795540676
GZMA,6.003469863235095,0.6363140349539826
HLA-DRB5,5.870083195036074,0.6872450068212682
APOBEC3G,5.414576127497642,0.8707204167835736
PATL2,4.596039928160052,1.0196574642708798
MYO1F,4.560095634988938,0.6449964561327783
LPCAT1,4.504475263178334,1.3057558542376826
KLRG1,4.495139787941613,0.6765846655320413
HLA-DPB1,4.226109223463115,0.6039305840275088
SASH3,4.077456738777187,0.7703618683929477
HLA-C,3.856884319837624,0.3205069298291242
SRGN,3.2356341085112192,0.5472686309392963
CD3G,3.1583010209652516,0.5957213368341892
PTGDR,3.1297291308365787,1.0075139404805014
CTSC,2.90534435422862,0.7076911338982822
CCL5,2.605322104779452,0.43253296415995357
ITGAL,2.502983669096442,0.6455137196411097
HLA-DPA1,2.369776789320409,0.5252421648867203
APMAP,2.0843855481165536,0.5783478898179947
A2M,1.976141571045415,0.5353966573466168
SH3BGRL3,1.665876868935845,0.40233223071873675
ITGB2,1.5987227758957665,0.42035612575150944
CD63,1.5571954171014455,0.7745051430626791
TRG-AS1,1.3583017130562833,0.959577924322226
HOPX,1.2399379854034909,0.8060163191011386
CD8A,1.1904799291661265,0.38609761559734196
MBP,1.0795435155755122,0.7047209369382385
PYHIN1,1.055695902679021,0.5845224087162951
PFN1,1.0192960369616597,0.2839101172602746
RAP1B,0.9704923746422865,0.535980795440199
RASSF1,0.890539440352397,0.77982498027394
MIR3615,0.8653054982961027,0.4673871229904575
FAM49B,0.8316228677080306,0.6772682152864776
SLC9A3R1,0.7174929134748212,0.47055013976865107
HLA-B,0.6616051206080368,0.22172147807040513
PTPRCAP,0.6168271661282796,0.3106721984154166
B2M,0.6081775815125693,0.15423792878289072
GNG2,0.5628094789017253,0.6966187892555575
CEP78,0.5376387754284585,0.9793037319664922
FLNA,0.5356250341099394,0.46872819430946844
ID2,0.43226388125934184,0.5198444531070862
ACTB,0.2702513748153301,0.21504589098821703
C12orf75,0.20445413240005555,0.5974581836323072
BIN2,0.1829453291928275,0.40674839681206015
KLRC4-KLRK1,0.12314886248543531,0.261190613554309
CD3D,0.11639432946514999,0.31572391984819803
KLRK1,0.05667788787104747,0.2548175423186748
UBB,0.0467765533277761,0.24726256225949678
PTPRC,0.030730434456899852,0.2410410167044606
BTN3A1,0.022988113607968035,0.592216865723603
RHOF,0.011076204560259411,0.657396950924313
TMEM120B,0.005045578458968324,0.5955539653086159
GAB3,0.004542846687511703,0.9029204547632668
PSMB10,7.718347745850628e-4,0.39765538676627443
PTPRE,5.740421995768325e-4,0.9438878816297925
USP28,2.943352317974373e-4,0.862059181546242
AAK1,0,-0.06038238926755362
ABHD14B,0,-0.405656163296306
ABI1,0,-0.18565527794932668
ABRACL,0,-0.2632383031747093
ACAA2,0,0.18515875756792205
ACADVL,0,0.14636401872398203
ACAP2,0,-0.4140975455996803
ACAT2,0,-0.3459249449910947
ACIN1,0,-0.11258623432773947
ACOT13,0,-0.29176397454755304
ACP1,0,-0.10659184470674384
ACSL5,0,0.21294426254268978
ACTG1,0,0.19653685412916827
ACTR2,0,-0.020680887153929354
ACTR3,0,0.3359905893319656
ADA2,0,-0.0876662529046798
ADAM17,0,-0.2112765445446102
ADAM8,0,0.3511768980470973
ADAR,0,-0.3707985689538423
ADCY7,0,0.6106392838762151
ADD1,0,0.15475881587984455
ADD3,0,0.18164252142727583
ADGRE5,0,0.3702824665201149
ADRM1,0,0.2665486334334169
AES,0,-0.1025817102181506
AFF4,0,-0.6355707124379905
AGBL5,0,-0.19391431642098925
AHNAK,0,0.11252729861106153
AIMP1,0,-0.23055236067203624
AIP,0,0.13746276656788123
AKAP13,0,0.3557916601517411
AKAP9,0,0.24293089564049533
AKIRIN1,0,0.036585971851105514
AKNA,0,0.2754942979515113
AKR1B1,0,0.1506687230826378
AKTIP,0,-0.1590847418478603
ALDOA,0,-0.14875665004932084
ALOX5AP,0,0.10107440799336573
ANAPC16,0,-0.15523667291343468
ANAPC1P1,0,-0.19084949408715457
ANAPC5,0,-0.06341549774481006
ANKHD1,0,0.051709637522977143
ANKHD1-EIF4EBP3,0,0.05078711402813517
ANKRD10,0,-0.09730518087566199
ANKRD11,0,-0.14355219430299604
ANKRD12,0,-0.13145095343001162
ANKRD36,0,-0.004322944036895082
ANKRD36B,0,-0.27561420764071265
ANKRD44,0,-0.275714937264971
ANKZF1,0,0.04997092447494698
ANP32A,0,0.2891344192356961
ANP32B,0,-0.2878472344505803
ANP32E,0,-0.16948332496435592
ANXA1,0,-0.2650748496622886
ANXA11,0,-0.35108447454494124
ANXA2,0,0.1504958436743173
ANXA2P2,0,0.16587882377019497
ANXA5,0,-0.17313701490207367
ANXA6,0,0.10921414167078267
ANXA7,0,-0.06054211193240776
AP1G2,0,-0.20988338954154645
AP1M1,0,0.26739496298574134
AP2B1,0,-0.18397202349990957
AP2M1,0,0.08351395809804353
APBB1IP,0,0.2815198928285112
APEH,0,0.02931574117018122
APEX1,0,-0.6814449466267386
API5,0,0.028010017111850704
APOBEC3C,0,0.37450580086965474
APOBEC3F,0,0.014726598671117053
APOL2,0,0.12495224169600944
APOL3,0,-0.4139953817775248
APOL6,0,0.39602239114264787
APRT,0,-0.3392772681908181
ARAP2,0,0.530603474050582
ARCN1,0,-0.006208615444974841
ARF1,0,-0.005476058426016799
ARF4,0,-0.23224160943097127
ARF5,0,0.11438292395394331
ARF6,0,0.44691683403444993
ARFGAP2,0,-0.40858211577583964
ARGLU1,0,-0.05718764872815134
ARHGAP1,0,0.33197939247320885
ARHGAP25,0,0.009641001043538005
ARHGAP30,0,0.11024192172590089
ARHGAP4,0,-0.07376772468804808
ARHGAP45,0,-0.11148346393076433
ARHGAP9,0,0.10984976089319677
ARHGDIA,0,0.2108993891586825
ARHGDIB,0,-0.03206248287541575
ARHGEF1,0,-0.014730639912115819
ARHGEF3,0,-0.07206599297767724
ARHGEF6,0,-0.18716393675125007
ARID1A,0,-0.10469484183480784
ARID4A,0,-0.28074029485376023
ARID4B,0,-0.19778451358759327
ARID5A,0,0.40526503922159124
ARID5B,0,-0.6987845796049822
ARIH2,0,0.6534899545282611
ARL2BP,0,0.24892105351288674
ARL4C,0,0.1901625163932386
ARL6IP1,0,0.13128424363395086
ARL6IP4,0,-0.07455212323724174
ARL6IP5,0,-0.1932204832025692
ARPC1A,0,0.12367407526312611
ARPC1B,0,0.14537843621451618
ARPC2,0,0.16344593361664558
ARPC3,0,0.006133403643979279
ARPC4,0,0.2659326177860291
ARPC4-TTLL3,0,0.16779471817761776
ARPC5,0,0.08899005405878134
ARPC5L,0,0.37629020964646936
ARPP19,0,0.2657255122721882
ARRB2,0,0.11861240215957922
ARRDC3,0,0.6699001904015958
ASCC1,0,-0.025474340550195356
ASCC2,0,0.464695718834738
ASF1A,0,-0.27714371414839833
ASH1L,0,0.10346521963467191
ATF4,0,0.16017869665567602
ATF7IP,0,0.16302563877160106
ATG12,0,-0.1488283336829093
ATG3,0,0.14188568384954267
ATM,0,-0.28888693619331085
ATN1,0,-0.35097166744391567
ATP1A1,0,0.06287097899465284
ATP1A1-AS1,0,0.04070307533818203
ATP1B3,0,0.09689554498474263
ATP2A3,0,0.4573975295795731
ATP2B1,0,-0.5342002164302386
ATP2B4,0,0.6436843093138397
ATP5A1,0,-0.04430221361529066
ATP5B,0,-0.01026057114442411
ATP5C1,0,-0.3173496660548003
ATP5D,0,-0.05455980846495653
ATP5E,0,-0.2535515229986497
ATP5F1,0,-0.08459653125287102
ATP5G3,0,0.19180939547732226
ATP5H,0,-0.4003142761159346
ATP5I,0,-0.18256618997731117
ATP5J,0,-0.2036430008418506
ATP5J2,0,-0.029237796043819656
ATP5J2-PTCD1,0,0.2448045219607638
ATP5L,0,-0.28088626063714056
ATP5O,0,0.12616472562192774
ATP6AP1,0,8.901806357200037e-4
ATP6AP2,0,0.2115391470638702
ATP6V0B,0,-0.0015546010110287511
ATP6V0C,0,0.016502662818168562
ATP6V0D1,0,0.03749109058508557
ATP6V0E1,0,0.05275089573320074
ATP6V0E2,0,-0.5370927164034588
ATP6V1C2,0,0.09587736637502665
ATP6V1F,0,0.3689754465529321
ATP6V1G1,0,-0.3251649182363899
ATP6V1G2-DDX39B,0,-0.10113547440172097
ATP8A1,0,0.30367606433080685
ATPIF1,0,0.08989115114453897
ATRAID,0,4.544717124957831e-4
ATRX,0,-0.3987995315681007
ATXN7,0,-0.6349513640876469
AUP1,0,0.1514007903936507
AZIN1,0,0.0065322827737298
B4GALT1,0,-0.12889716390671685
BABAM1,0,0.16382528749594874
BANF1,0,0.1274442353833494
BATF,0,0.3479377199134915
BAZ1A,0,0.34664911871319615
BAZ2A,0,-0.15874411810258618
BBIP1,0,-0.5164680857314178
BBX,0,0.0646016145404602
BCAP31,0,0.4381719422040161
BCAS2,0,-0.25260029218810054
BCAS4,0,-0.9361616396888529
BCL11B,0,-0.25571305479971185
BCLAF1,0,-0.14128017824204786
BDP1,0,-0.08291912853275218
BECN1,0,-0.09531678713260772
BIN1,0,-0.08397032988946306
BIRC6,0,0.288070021094688
BIVM-ERCC5,0,0.02047688533926622
BLOC1S1,0,-0.1919457239043302
BLOC1S1-RDH5,0,-0.13590899936120465
BNIP2,0,-0.1314871960298464
BPTF,0,0.007513142144333269
BRD2,0,0.47185166939430384
BRK1,0,-0.013442405109957383
BRWD1,0,-0.2775575512020533
BSG,0,0.38450940595251965
BST2,0,0.4909952425713337
BTAF1,0,0.08960896289678812
BTF3,0,-0.30090412513320763
BTG2,0,-0.7980746148539556
BTN3A2,0,0.2683946487239904
BTN3A3,0,0.5658069169869389
BUB3,0,-0.001843370645074236
BUD23,0,-0.23748739459682844
BUD31,0,0.4025057752500501
BZW1,0,0.07656442749241087
C11orf58,0,0.20622158494333326
C14orf2,0,-0.3216581203906133
C16orf54,0,-0.22328646558528303
C17orf62,0,0.09852414339490743
C18orf32,0,0.051436757197468826
C19orf53,0,-0.42415497612552283
C19orf66,0,-0.11357235986450073
C1QBP,0,-0.6305903575667761
C1orf43,0,-0.23801429105065808
C1orf56,0,0.07711409688635211
C20orf24,0,0.04127755075574715
C2orf68,0,-0.03594190430371223
C4orf3,0,-0.011986317924898007
C5orf56,0,0.36877407444085486
C6orf48,0,-0.6727639243036853
C6orf62,0,0.23993336775090815
C7orf25,0,-0.02285733430845938
C7orf55-LUC7L2,0,0.12989343595929995
C9orf16,0,0.1955351230434543
C9orf78,0,-0.2550351341758692
CACYBP,0,-0.5690404754391135
CALCOCO1,0,0.11182643726454437
CALCOCO2,0,0.29207712558445265
CALM1,0,0.21191754638690638
CALM2,0,0.026005666068540965
CALR,0,0.21305745351898164
CANX,0,0.0777042117651944
CAP1,0,0.234224130790237
CAPN1,0,0.18413396985058195
CAPN2,0,0.4575392258263329
CAPZA1,0,0.288962959387961
CAPZA2,0,-0.07360292745763002
CAPZB,0,0.019451082914840462
CARD10,0,-0.009924012360101013
CARD16,0,0.37560709271046844
CARD8,0,-0.42411525483917967
CASC4,0,0.04547698847588383
CASP1,0,0.45162728324884194
CASP2,0,0.08805099463011273
CASP4,0,0.2432170547840255
CASP8,0,0.17563932209345592
CAST,0,0.17663039917924173
CATSPER2P1,0,0.17127326316022246
CBLB,0,-0.2002189685529215
CCAR1,0,-0.32698123231012394
CCDC12,0,0.29272998508310255
CCDC18-AS1,0,-0.28433568969711775
CCDC66,0,-0.550028740220609
CCDC69,0,0.001764465680684797
CCDC73,0,-0.3372576588351473
CCDC88C,0,0.35770774714383086
CCM2,0,-0.5169838757379703
CCND2,0,-0.4056269739502845
CCND3,0,0.06285194491815897
CCNDBP1,0,-0.006210488181324542
CCNG1,0,-0.3452494509616711
CCNH,0,-0.24830308625269798
CCNI,0,-0.08072236573781781
CCNL1,0,-0.05652548920257607
CCNL2,0,-0.06481127144185225
CCSER2,0,-0.1829738623611655
CCT2,0,-0.37940357302750993
CCT3,0,0.2950362609389526
CCT4,0,-0.23984364007692233
CCT5,0,-0.15172371963485773
CCT6A,0,-0.06198393146853824
CCT7,0,-0.0873892932050743
CCT8,0,-0.10893324584933887
CD164,0,0.26610342790561514
CD2,0,0.19597948435905457
CD247,0,0.33415752909732005
CD2BP2,0,0.16846592344869502
CD37,0,-0.08618770774198431
CD3E,0,0.16235419799675013
CD46,0,0.1273358033591801
CD47,0,0.23188803364923247
CD48,0,-0.008727177342825439
CD5,0,-0.042781758652572194
CD52,0,-0.2813777239918276
CD53,0,0.20467435920977312
CD58,0,0.6015830061943731
CD6,0,0.47694387979441927
CD69,0,-0.5773480769803304
CD7,0,-0.1856895116942129
CD74,0,0.2235363636790056
CD84,0,-0.3018259983698194
CD8B,0,-0.2068085496007857
CD96,0,-0.3645356261053687
CD99,0,0.09234435027742638
CDC123,0,-0.026269888273417676
CDC25B,0,-0.26813530135329827
CDC37,0,0.05893457356615524
CDC42,0,0.11118242898007162
CDC42EP3,0,-0.07368876527075546
CDC42SE1,0,0.08277603789468398
CDC42SE2,0,-0.16369355879237912
CDK11A,0,-0.040087266388319616
CDK11B,0,-0.08933709329427676
CDK12,0,-0.12640582006754722
CDK2AP2,0,0.35578996437974525
CDK5RAP3,0,-0.11026274740863937
CDKL3,0,-0.004712093360199612
CDS2,0,-0.17746021770492865
CEACAM21,0,-0.27013516153358735
CEBPZ,0,0.2075233929053275
CELF1,0,-0.07001046195844528
CELF2,0,0.08503739278521469
CELF6,0,-0.10672093506053257
CENPC,0,-0.3740148742171836
CENPT,0,0.20485155515088835
CEP350,0,-0.34174922228369065
CEP57,0,-0.1279367520234892
CEPT1,0,-0.05206609172601893
CFL1,0,0.12355181163809162
CFLAR,0,-0.05173017540298565
CFLAR-AS1,0,-0.24733349166511345
CGGBP1,0,-0.07408306142118846
CHCHD2,0,0.018595711887907998
CHCHD7,0,-0.024246295987707098
CHD1,0,-0.4668149238553274
CHD2,0,-0.008265179985930465
CHD4,0,0.40805513461973714
CHD6,0,-0.14742912815774178
CHD9,0,-0.463956581076128
CHMP1B,0,-0.03356180761732194
CHMP2A,0,0.1370252250728067
CHMP4A,0,0.15737322364725986
CHP1,0,0.11088696213570824
CHST12,0,0.7563377217169278
CHTOP,0,0.13462131816528725
CHURC1-FNTB,0,-0.3605282255464026
CIAO1,0,0.4935388718814058
CIB1,0,0.004257887348945815
CIRBP,0,-0.2901269737173798
CKLF,0,-0.0940528248203373
CKLF-CMTM1,0,-0.11560164863559082
CLEC2B,0,0.1124967079314375
CLEC2D,0,0.12968064638828145
CLIC1,0,0.30694273188341775
CLINT1,0,-0.23471786111291515
CLK1,0,-0.3707186736258286
CLK3,0,-0.2580259088380251
CLTC,0,0.19680049242044867
CMC1,0,0.28396387757372493
CMPK1,0,0.4762124524773651
CMTM6,0,0.06357492348920478
CMTM7,0,-0.4993707452243813
CNBP,0,-0.05518345630017906
CNDP2,0,-0.29327648542902796
CNOT1,0,0.0611410689175731
CNOT2,0,0.10499559930791637
CNOT6L,0,0.18978685246913463
CNOT7,0,-0.08596107918929792
CNOT8,0,-0.18169866163731452
CNOT9,0,0.33456921564719566
CNPY2,0,-0.029506178572500385
CNPY3,0,-0.27420692666015645
CNTD1,0,-0.1379988773226597
CNTRL,0,-0.2195958318390007
COA1,0,-0.3528920764568373
COG1,0,-0.06660348496621186
COG5,0,-0.3685789904839611
COMMD3-BMI1,0,0.2512572803128657
COMMD6,0,-0.3715805953799939
COMMD7,0,-0.12838331412567514
COPA,0,-0.014011229343706315
COPB1,0,0.01678474655712459
COPB2,0,0.03470608213266187
COPE,0,0.14359304715076854
COPS5,0,-0.25726221351086953
COPS6,0,-0.2721133856577829
COPS8,0,0.2753116138416901
COPZ1,0,0.008767979725798352
CORO1A,0,0.015332765222750915
CORO7,0,-0.13393490210044748
CORO7-PAM16,0,-0.14142324327547648
COX4I1,0,-0.1409894253648867
COX5A,0,-0.2967783308475284
COX5B,0,-0.3185887558934568
COX6A1,0,-0.15015512156457772
COX6B1,0,-0.3758903991484143
COX6C,0,-0.30500074980855374
COX7A2,0,-0.2838247418417154
COX7A2L,0,-0.1210805427682806
COX7B,0,-0.3363757477142857
COX7C,0,-0.7180123158396549
COX8A,0,-0.12701367497641428
CPNE1,0,-0.10744051944707002
CPSF6,0,-0.28302329812670357
CRBN,0,-0.34264720330367526
CREB1,0,-0.1339493398393346
CRIP1,0,-0.3190522446134622
CRLF3,0,-0.16453389597925994
CRYBG1,0,-0.22495596053921973
CS,0,0.26671240932847085
CSDE1,0,-0.19680846052610698
CSK,0,0.5472470338448703
CSNK1A1,0,0.10946765105627952
CSNK2B,0,-0.1719149676687939
CSTB,0,-0.13567133522884647
CTBP1,0,0.4423936470154139
CTC1,0,-0.08689459243947464
CTNNB1,0,0.13491032787048682
CTR9,0,0.07868884894204127
CTSB,0,-0.7231308075080648
CTSD,0,0.5213787560203242
CTSS,0,-0.2376062895935096
CUTA,0,-0.22858344657677443
CWF19L2,0,-0.10232918654076845
CYB561D2,0,0.2891455359789793
CYB5B,0,-0.34428046570553095
CYBA,0,0.3718837371250203
CYCS,0,-0.34106305456499997
CYFIP2,0,0.45921185817404947
CYP20A1,0,0.20032286832748875
CYTH1,0,0.257562294607138
CYTH4,0,0.2590836667838108
CYTIP,0,-0.21927206047535164
CYTOR,0,0.021041841193730045
DAD1,0,-0.030145420450327184
DALRD3,0,-0.4150505103084085
DAP3,0,-0.1371258388822466
DAXX,0,0.14174969634045773
DAZAP2,0,0.10143455847584867
DBI,0,0.36638972263006514
DBNL,0,0.32089623818247004
DCAF11,0,0.09443966363420875
DCAF5,0,0.8025937267834702
DCAF7,0,0.15112567701181845
DCAF8,0,0.008335344990300335
DCK,0,-0.1961827937290067
DDB1,0,-0.05265185501401244
DDHD1,0,0.5273416072614624
DDIT4,0,0.5589233754107229
DDOST,0,-0.0040212233123324646
DDX17,0,-0.1401004099709835
DDX18,0,-0.4064402370713265
DDX19A,0,0.10018679383674485
DDX24,0,0.15003840250957176
DDX27,0,-0.5648097185090859
DDX39A,0,-0.23255613228810035
DDX39B,0,-0.18717992813389708
DDX3X,0,-0.22735425026551984
DDX46,0,-0.05385100698365476
DDX5,0,-0.023411728458082256
DDX6,0,0.03320241017434476
DECR1,0,-0.12372864637751299
DEDD2,0,-0.2669709199282899
DEF6,0,0.06547353437612656
DEGS1,0,-0.38328068603537746
DEK,0,-0.09578562641057381
DENND1C,0,0.3857908548106204
DENND2C,0,-0.2331683016698105
DENND2D,0,-0.16719117235648492
DENR,0,-0.08446986016253745
DERL1,0,0.47896909619892064
DGKZ,0,-0.30356749727068305
DGUOK,0,-0.10373602056406833
DHRS7,0,0.3549857523981816
DHX36,0,-0.18013098946683762
DHX9,0,0.19821546215415578
DIAPH1,0,-0.003952269684665603
DIP2A,0,0.5627530615755331
DMTF1,0,-0.07367232389947272
DNAJA1,0,0.4271617742950495
DNAJA2,0,-0.18432589526596072
DNAJB1,0,-0.4789065857512601
DNAJB14,0,0.03677205000289255
DNAJB6,0,-0.05295387313770936
DNAJC14,0,-0.08346253436382162
DNAJC3,0,0.23233600370123964
DNAJC8,0,0.19308871477582826
DNM2,0,0.023345817974658054
DNMT1,0,-0.5152314134881197
DNTTIP2,0,-0.32784635951564006
DOCK11,0,0.18678623507761688
DOCK2,0,-0.1125055845761295
DOCK8,0,-0.033162408856215866
