"olink_id","IL8","TNFRSF9","TIE2","CD40.L","CD244","EGF","ANGPT1","IL7","PGF","IL6","MCP.1","CRTAM","CXCL11","MCP.4","TRAIL","FGF2","CXCL9","CD8A","CAIX","MUC.16","ADA","CD4","Gal.9","VEGFR.2","CD40","IL18","GZMH","LAP.TGF.beta.1","CXCL1","TNFSF14","TWEAK","PDGF.subunit.B","PDCD1","FASLG","CCL19","MCP.2","CCL4","IL15","Gal.1","PD.L1","CD27","CXCL5","HGF","GZMA","HO.1","CX3CL1","CXCL10","CD70","IL10","TNFRSF12A","CCL23","CD5","CCL3","MMP7","NCR1","DCN","TNFRSF21","TNFRSF4","MIC.A.B","CCL17","ANGPT2","IFN.gamma","LAMP3","CASP.8","ICOSLG","MMP12","CXCL13","PD.L2","VEGFA","LAG3","CCL20","TNF","KLRD1","GZMB","CD83","IL12","CSF.1"
4657,6.21697,9.29441,7.82869,5.5514,6.58972,6.752,9.60052,3.22013,9.35283,3.82947,10.71472,6.15087,7.75575,10.06282,8.87049,1.12747,8.36112,11.03594,4.01191,1.8613,6.48382,4.75423,8.04384,8.18781,9.42505,8.35948,4.70984,9.57579,8.45012,6.09499,7.68775,10.7416,7.14494,8.82676,11.21985,6.78632,7.52475,4.98942,7.06231,6.82211,9.0298,10.52738,7.95992,8.02915,11.76186,5.92712,10.07653,3.65174,4.43255,5.72686,10.45807,7.39869,6.34705,10.55592,5.9754,5.21274,9.90924,8.37427,7.20156,9.70337,6.87606,10.11741,6.28754,3.52303,6.61798,8.76881,9.3462,2.21179,11.65624,5.87214,7.49004,5.94979,7.43442,5.93645,4.11234,9.42957,10.49537
4663,5.73202,9.34144,7.27533,4.15835,6.68931,5.17461,6.35759,2.39317,8.41575,5.86485,10.58342,5.87341,6.23978,8.13772,8.4431,1.12747,9.62821,10.97532,4.54315,4.14409,6.37028,4.68948,7.99701,8.03036,8.809,8.09572,5.40669,8.17159,8.04348,4.9367,7.59608,8.438,7.53576,8.28689,11.18053,6.78182,7.15942,5.00387,6.81889,6.32763,8.92444,8.00091,7.42439,7.30245,10.87833,7.03152,10.00109,3.43532,4.59895,4.6883,8.97451,7.51926,5.68991,9.97544,4.82692,5.29442,9.55797,8.15077,3.24381,8.48663,6.98348,9.87946,5.99368,3.37685,6.63892,10.01199,10.16971,2.5996,10.51528,6.28777,8.22383,5.67689,6.764,4.28254,3.67201,8.5754,9.98502
4669,3.12756,7.67948,7.33776,4.29641,6.74645,6.28899,6.90158,3.19654,8.93975,2.37234,9.04175,4.93356,6.67567,7.79034,8.55469,1.12747,7.1163,10.54587,4.85368,2.9987,6.7436,3.78187,7.61344,7.89687,9.11259,7.90953,3.78185,8.0047,7.42957,3.97957,8.07579,8.63975,6.29568,7.85596,9.70759,6.64311,6.25681,4.76976,6.65979,6.45278,8.23448,8.1081,7.27971,6.12477,10.96476,5.36153,8.46316,2.73729,3.25943,4.71221,9.50707,5.96058,4.98561,8.94105,4.72764,5.49311,9.24904,7.4114,5.90232,7.53224,5.92879,8.5774,4.84396,3.50105,5.96976,7.2074,8.43394,3.24652,9.35599,5.42196,5.9635,4.38236,6.47885,3.95864,3.1007,8.16132,9.905
4671,4.17001,7.96979,7.63578,5.07869,6.75041,7.58817,8.59046,4.33857,8.13061,3.88964,8.93885,4.45487,6.49444,8.91718,8.39412,1.12747,5.74211,9.27325,4.59916,3.03186,6.04095,3.60767,7.24636,8.10192,9.42676,7.76638,2.79646,8.50104,9.45922,4.33899,8.75019,10.20118,6.18479,7.6105,10.44186,6.96221,6.09613,4.62285,6.1611,5.9767,7.83506,11.60194,7.32831,5.37456,10.63916,4.77873,7.18475,2.5472,2.76096,4.13664,9.04628,5.74891,4.59689,9.18389,3.84187,5.19883,9.07339,7.09924,2.06944,8.00085,6.4091,5.40946,5.13922,3.33093,5.90664,8.95473,9.21989,2.3835,9.02457,4.52775,6.90062,4.34114,6.0069,3.35414,2.92859,7.73018,9.56079
4679,3.44813,7.08752,7.06363,5.12037,6.32033,7.18658,7.77222,3.39929,7.95745,2.67905,7.3316,5.27748,4.86197,7.57903,7.45712,1.12747,5.60648,9.50805,4.31754,3.50521,6.06511,3.36266,7.1785,7.8289,9.13483,7.66456,2.80047,7.88161,8.18316,3.63193,7.85391,9.42312,5.88954,6.74713,7.62931,5.55326,6.34913,5.29054,6.71502,5.47224,8.13961,8.65979,7.20958,5.04643,10.66029,5.20743,6.69637,2.3074,3.13169,3.99623,10.3798,5.62812,4.6091,8.60343,3.48562,5.0835,8.60541,5.49327,2.06944,8.27411,5.74782,2.5186,4.08343,3.16324,6.14765,6.72673,10.01172,2.09905,8.92785,4.15558,6.51455,2.94395,5.82123,2.46954,1.87151,4.3587,9.37735
4681,3.55695,7.32817,7.29206,4.20429,6.23279,5.87852,7.39848,3.99343,7.65659,2.89724,7.28249,5.45029,4.95127,7.68042,7.00841,1.12747,6.00974,9.81123,4.95287,3.73191,5.81654,3.71596,6.48893,7.88175,8.62521,7.78928,2.82357,7.6227,7.36222,3.71475,7.17573,8.47838,6.22867,7.26442,9.16172,5.26496,5.09917,4.8988,5.82834,5.7274,8.25635,8.42291,7.32266,5.62016,11.11425,5.60339,6.75469,2.22231,3.55831,3.24387,9.42266,6.04141,3.62064,8.22703,3.47433,4.39887,8.37349,6.2608,5.99501,8.40315,5.46341,5.08663,3.87077,2.43088,5.62196,5.86509,8.80175,2.09905,8.8003,4.15085,6.45917,3.44418,5.3712,2.98029,2.67877,7.37563,9.34069
4683,4.09453,7.34795,8.0938,5.90329,7.98304,8.20197,7.97875,3.65107,8.48638,4.1233,9.50212,5.89835,6.79257,7.98601,8.12432,1.14134,8.19497,10.11317,11.50523,3.36193,5.45882,3.90107,7.59036,7.88334,9.85892,7.97861,3.55086,8.82987,8.66701,4.47011,8.21602,9.68754,6.39904,7.03252,9.61933,6.98629,6.79266,5.51937,6.0286,6.77319,8.13284,10.12678,8.5465,6.1093,10.99196,5.38753,8.67893,2.39507,3.20194,6.55278,10.17909,6.01996,5.36569,9.89726,3.71806,5.3318,9.91866,6.80991,8.49526,9.043,7.62873,6.41006,5.00538,3.27474,6.6514,7.72155,8.19942,3.09297,10.15859,5.84948,7.05149,4.49315,6.58662,3.38563,2.48988,7.51843,10.23513
4687,3.59416,7.87128,7.35662,5.84801,6.57946,7.53792,8.6184,3.6138,8.14376,2.37234,8.46484,4.34036,6.16354,8.75506,7.75431,1.12747,5.88973,10.0703,4.49959,2.47467,6.48194,4.44818,6.98699,8.34713,9.31994,7.71929,3.62264,9.45881,8.18336,4.55018,8.00018,10.57645,5.54815,7.10168,8.82645,7.01921,6.41781,5.06763,6.61555,5.96672,7.9829,9.27999,7.69597,5.24028,10.11547,4.88307,7.14987,2.07195,3.17341,3.77209,9.46811,6.10697,4.79369,7.40985,3.72758,5.08823,8.52993,6.05647,5.07667,8.89755,5.54235,3.71054,3.97895,3.59927,6.05074,5.8606,8.72122,2.32021,9.21017,5.21272,6.40969,3.59998,5.48469,3.06684,2.34576,5.95878,9.42538
4693,3.36195,6.7742,7.06747,3.05347,6.10878,6.20017,9.40878,4.29581,7.78688,2.37234,7.45878,3.79502,4.65034,7.81585,7.19689,1.12747,4.46344,9.12613,3.66298,3.19066,5.41277,3.49138,6.44182,7.98307,8.6367,7.08846,3.27942,9.1154,6.97385,3.90216,7.68692,10.72817,4.81253,6.79359,6.994,6.47548,5.42696,5.42993,5.81161,5.60536,7.61084,8.2083,7.57863,4.70612,9.30904,4.50326,6.32909,1.81209,3.68374,3.46781,10.43673,5.04943,4.0494,6.81682,3.54434,4.773,8.17682,4.95404,2.18441,7.14891,5.27726,2.5186,3.54928,2.47855,5.79261,5.4153,9.36734,2.09905,8.94261,4.13236,5.83156,2.91213,5.35656,2.46954,1.46248,4.11577,9.29117
4695,4.12371,8.35688,7.14178,5.20276,6.80501,7.35209,8.35221,3.64819,8.44511,3.01011,9.14223,5.90592,6.98175,8.69385,8.24648,1.12747,7.6749,9.73309,4.22948,3.54693,6.51342,4.02832,7.33003,7.7012,8.86505,8.1832,3.83635,8.77312,9.49589,4.63541,8.24537,9.77762,7.40755,8.07205,11.7411,7.19693,5.5743,4.59351,6.37924,5.86801,8.28692,11.46727,7.34893,6.62679,10.55838,4.86577,8.1141,3.28928,3.8924,3.68175,9.4808,6.88068,5.01868,9.33868,4.26161,5.22279,9.15709,7.09203,6.47094,10.71964,6.36471,6.10282,5.17832,3.44006,6.28442,8.37988,10.0209,2.09905,9.27152,4.85191,7.67236,5.12868,5.83866,2.92194,3.39414,8.16949,9.96812
4705,4.11868,8.45432,7.90784,8.22665,7.80588,10.02584,9.94706,5.37893,9.02534,3.63761,9.25453,4.76585,10.16339,9.66066,7.89108,2.55189,7.11622,10.00552,5.60688,3.2042,7.1677,4.04241,7.1826,7.98742,10.96671,7.82138,3.53648,9.87113,10.28233,6.34512,9.22134,11.3587,5.71927,7.41324,10.56077,7.3131,6.96854,4.82833,7.05746,7.04597,8.02366,12.07619,9.47357,6.07924,10.47827,5.38274,7.7212,3.06293,2.85174,4.56017,9.62974,6.10487,5.64991,8.56125,4.4894,5.43333,9.33313,7.20467,5.17126,12.21937,6.41983,5.34913,4.35443,5.20721,6.05572,7.23625,9.49016,2.29871,10.05306,5.16697,5.92349,4.38052,5.88654,3.69501,2.45455,7.05928,10.35454
4709,4.90316,9.7404,7.20568,6.81724,7.54393,8.52441,8.52238,4.40565,9.1515,4.68417,10.10608,6.92291,7.99441,8.54607,8.59449,2.12834,9.77739,11.51059,4.72394,3.92044,7.31508,4.87416,8.31428,8.166,10.01254,9.64958,6.25064,8.95241,9.77052,5.56019,8.45729,10.9563,8.15432,8.33291,12.44241,7.48556,6.98913,4.90033,6.88712,7.15982,9.47493,10.21943,8.09575,7.30682,11.58564,5.36093,10.42242,3.74064,6.4645,4.44769,9.99748,7.56426,6.45714,8.93945,5.04364,5.68936,9.49629,9.27371,5.87013,9.92801,6.36723,9.34043,6.37632,4.403,6.38871,8.38757,12.40277,3.12668,9.96439,7.48726,7.86307,5.82575,7.72189,6.38602,4.06752,9.57652,10.29387
4713,5.47285,6.77531,7.61691,9.42506,8.60711,10.62184,10.46381,6.37666,9.12237,3.0542,8.91824,4.75922,9.13103,9.17313,7.90293,3.76699,5.60622,9.1006,4.66585,5.55296,7.05659,3.62603,7.16202,7.52507,11.05024,8.65944,2.62555,10.5158,10.53265,6.75329,8.95443,11.74324,5.7779,6.91463,10.12565,7.35448,6.28285,5.05264,7.01274,7.8443,8.14776,11.75392,8.60671,5.41285,11.86604,5.26509,6.72012,2.79484,2.18162,4.66689,9.51113,5.92783,6.07478,9.39872,4.01272,4.86931,9.31601,7.12572,6.13261,11.81056,6.29802,4.15848,3.63107,5.61905,5.78223,6.65826,9.329,2.49548,10.17315,4.19029,6.61549,4.15976,5.83473,3.23965,2.22465,6.26903,10.20857
4721,6.53599,8.15946,7.55114,5.58335,6.80055,7.11963,7.59361,3.4115,9.43064,6.63513,10.08934,5.8875,7.57792,8.17546,7.99673,2.1457,6.43082,10.27714,4.88762,5.29924,6.77331,3.96729,8.091,7.83678,9.90596,8.98016,3.60971,9.185,8.08832,6.39857,7.85461,9.82396,6.52327,7.43056,11.75472,6.64281,5.95562,5.32447,6.28026,6.92828,9.00402,7.22585,8.38821,6.30105,11.34029,5.44417,7.40888,3.02734,3.69504,5.35717,10.54027,6.4731,5.37141,10.54408,4.96038,5.36888,9.52038,8.0923,2.2562,9.86335,7.60613,6.02712,5.88055,3.35719,5.61053,8.80846,9.03147,2.51195,10.91915,4.50682,7.02697,4.98016,6.83367,3.63887,2.93581,8.21436,10.56896
